Star_name,Distance,Mass,Radius
1.0,46.1,0.028637640000000002,0.99,
3.0,192,0.028637640000000002,1.63,
5.0,37.7,0.028637640000000002,1.09,
7.0,236,0.028637640000000002,1.44,
9.0,87.2,0.028637640000000002,0.98,
10.0,131,0.028637640000000002,1.43,
11.0,31,0.028637640000000002,0.94,
12.0,28.6,0.028637640000000002,0.94,
13.0,57,0.028637640000000002,1.62,
14.0,40,0.028637640000000002,1.3,
15.0,34,0.028637640000000002,0.94,
17.0,96,0.028637640000000002,1.43,
19.0,70,0.028637640000000002,0.98,
20.0,51,0.028637640000000002,0.98,
21.0,163,0.028637640000000002,1.62,
22.0,130,0.028637640000000002,1.61,
23.0,70,0.028637640000000002,0.97,
27.0,111,0.028637640000000002,0.97,
28.0,101,0.028637640000000002,1.53,
29.0,155,0.028637640000000002,1.62,
30.0,152,0.028637640000000002,1.41,
31.0,35,0.028637640000000002,0.99,
32.0,53,0.028637640000000002,1.08,
34.0,12.578,0.028637640000000002,1.27,
35.0,184,0.028637640000000002,1.9,
36.0,24,0.028637640000000002,1.9,
37.0,16.2,0.028637640000000002,0.97,
38.0,45,0.028637640000000002,0.97,
39.0,47,0.028637640000000002,1.15,
40.0,192,0.028637640000000002,1.66,
41.0,59,0.028637640000000002,0.95,
42.0,80,0.028637640000000002,1.3,
43.0,98,0.028637640000000002,0.98,
44.0,27.0,0.028637640000000002,1.04,
45.0,20.9,0.028637640000000002,1.43,
46.0,88,0.028637640000000002,1.05,
47.0,380,0.028637640000000002,3.78,
48.0,48,0.028637640000000002,1.27,
49.0,29.8,0.028637640000000002,1.32,
51.0,18.6,0.028637640000000002,0.95,
53.0,85,0.028637640000000002,1.09,
54.0,34,0.028637640000000002,1.26,
55.0,142,0.028637640000000002,1.97,
56.0,29.5,0.028637640000000002,0.97,
58.0,82,0.028637640000000002,1.78,
59.0,42,0.028637640000000002,1.00,
60.0,69,0.028637640000000002,1.04,
61.0,44,0.028637640000000002,1.00,
62.0,64,0.028637640000000002,1.38,
63.0,73,0.028637640000000002,0.97,
64.0,40,0.028637640000000002,1.01,
66.0,41.62,0.028637640000000002,1.01,
68.0,34.6,0.028637640000000002,1.41,
69.0,102,0.028637640000000002,1.51,
72.0,39,0.028637640000000002,0.99,
73.0,65,0.028637640000000002,1.01,
74.0,51,0.028637640000000002,1.05,
76.0,60,0.028637640000000002,1.03,
77.0,13.4,0.028637640000000002,0.98,
78.0,29.6,0.028637640000000002,0.94,
79.0,25.8,0.028637640000000002,0.94,
80.0,49,0.028637640000000002,0.94,
82.0,55,0.028637640000000002,1.03,
83.0,60,0.028637640000000002,2.01,
84.0,16.1,0.028637640000000002,0.94,
87.0,35,0.028637640000000002,0.98,
88.0,43,0.028637640000000002,0.99,
89.0,55,0.028637640000000002,1.15,
90.0,77,0.028637640000000002,0.96,
91.0,23.53,0.028637640000000002,1.00,
92.0,43,0.028637640000000002,1.00,
93.0,27.6,0.028637640000000002,1.07,
94.0,50,0.028637640000000002,0.98,
96.0,20.0,0.028637640000000002,0.94,
97.0,17.4,0.028637640000000002,0.95,
98.0,59,0.028637640000000002,0.96,
99.0,46,0.028637640000000002,0.94,
100.0,55,0.028637640000000002,0.98,
103.0,60,0.028637640000000002,1.41,
104.0,53,0.028637640000000002,0.97,
105.0,34.4,0.028637640000000002,0.94,
106.0,13.15,0.028637640000000002,1.07,
107.0,6.516,0.028637640000000002,1.02,
108.0,6.516,0.028637640000000002,1.01,
109.0,49,0.028637640000000002,1.00,
110.0,180,0.028637640000000002,2.39,
111.0,163,0.028637640000000002,1.8,
113.0,63,0.028637640000000002,1.24,
114.0,18.2,0.028637640000000002,0.96,
115.0,137,0.028637640000000002,2.20,
117.0,129,0.028637640000000002,1.50,
118.0,31,0.028637640000000002,1.00,
121.0,217,0.028637640000000002,1.71,
122.0,36,0.028637640000000002,0.94,
125.0,45.6,0.028637640000000002,0.94,
127.0,262,0.028637640000000002,2.00,
128.0,38,0.028637640000000002,0.98,
129.0,61,0.028637640000000002,0.98,
130.0,61,0.028637640000000002,0.98,
131.0,101,0.028637640000000002,1.01,
132.0,65,0.028637640000000002,0.97,
133.0,48,0.028637640000000002,0.94,
134.0,51,0.028637640000000002,1.00,
135.0,29.7,0.028637640000000002,0.96,
136.0,149,0.028637640000000002,0.99,
137.0,38,0.028637640000000002,1.32,
138.0,38.5,0.028637640000000002,1.06,
139.0,47,0.028637640000000002,1.03,
140.0,72,0.028637640000000002,1.19,
141.0,47,0.028637640000000002,0.99,
142.0,104,0.028637640000000002,1.5,
143.0,104,0.028637640000000002,1.3,
144.0,35.1,0.028637640000000002,1.05,
145.0,20.7,0.028637640000000002,0.94,
146.0,71,0.028637640000000002,0.94,
147.0,46,0.028637640000000002,1.02,
148.0,23.9,0.028637640000000002,0.99,
149.0,53,0.028637640000000002,1.08,
151.0,34,0.028637640000000002,0.99,
152.0,67,0.028637640000000002,0.98,
153.0,51,0.028637640000000002,1.00,
154.0,37,0.028637640000000002,0.94,
155.0,68,0.028637640000000002,1.43,
156.0,44,0.028637640000000002,1.03,
157.0,48,0.028637640000000002,0.94,
158.0,36,0.028637640000000002,0.94,
159.0,110,0.028637640000000002,1.03,
160.0,50,0.028637640000000002,0.97,
161.0,28,0.028637640000000002,0.94,
162.0,60,0.028637640000000002,1.04,
163.0,114,0.028637640000000002,1.40,
165.0,90,0.028637640000000002,0.97,
166.0,39,0.028637640000000002,0.95,
167.0,18.5,0.028637640000000002,1.07,
168.0,138,0.028637640000000002,1.01,
169.0,46,0.028637640000000002,1.22,
170.0,105,0.028637640000000002,1.88,
171.0,65,0.028637640000000002,0.96,
172.0,47,0.028637640000000002,1.02,
174.0,62,0.028637640000000002,1.02,
175.0,80,0.028637640000000002,1.53,
176.0,113,0.028637640000000002,1.21,
177.0,32.1,0.028637640000000002,0.96,
178.0,26.3,0.028637640000000002,0.99,
180.0,93,0.028637640000000002,1.33,
181.0,154,0.028637640000000002,1.41,
182.0,38,0.028637640000000002,0.99,
183.0,35,0.028637640000000002,0.94,
184.0,64,0.028637640000000002,1.04,
185.0,56,0.028637640000000002,1.29,
186.0,56,0.028637640000000002,1.39,
187.0,148,0.028637640000000002,1.59,
188.0,67,0.028637640000000002,1.16,
189.0,74,0.028637640000000002,1.09,
227.0,20,0.028637640000000002,1.17,
231.0,35.9,0.028637640000000002,4.2,
232.0,35.9,0.028637640000000002,3.8,
286.0,25.3,0.028637640000000002,0.86,
0.0,Sun,0.000015813,1,1
1.0,Sirius,0008.6,2.1,1.71
2.0,Canopus,0310,15,71
3.0,Alpha Centauri,0004.4,1.1,1.2
4.0,Arcturus,0037,1.1,26
5.0,Vega,0025,2.2,2.7
6.0,Capella,0043,2.6,12
7.0,Rigel,0860,23,78.9
8.0,Procyon,0011.4,1.5,1.9
9.0,Betelgeuse,0640[1],20,950
10.0,Achernar,0144,6.7,9.3
11.0,Hadar,0390,10.5,8.6
12.0,Altair,0017,1.8,1.8
13.0,Acrux,0320,18,8.9
14.0,Aldebaran,0065,1.5,44
15.0,Antares,0600,12,680
16.0,Spica,0260,11.43,7.47
17.0,Pollux,0034,1.9,8.8
18.0,Fomalhaut,0025,1.9,1.8
19.0,Deneb,"2,600",19,203
20.0,Mimosa,0350,16,8.4
21.0,Regulus,0077,3.8,3.1
22.0,Adhara,0430,12.5,14
23.0,Shaula,0700,14.5,8.8
24.0,Castor,0052,2.8,2.4
25.0,Gacrux,0088,1.5,84
26.0,Bellatrix,0240,8.6,5.8
27.0,Elnath,0130,5.0,4.2
28.0,Miaplacidus,0110,3.5,6.8
29.0,Alnilam,"2,000",32,42
30.0,Gamma Velorum,"01,100",9.0,6
31.0,Alnair,0101,4.0,3.4
32.0,Alioth,0081,2.9,4.2
33.0,Alnitak,01050,33,20
34.0,Dubhe,0120,4.25,30
35.0,Mirfak,0590,8.5,68
36.0,Wezen,"1,600",17,200
37.0,Sargas,0270,5.7,26
38.0,Kaus Australis,0140,3.5,6.8
39.0,Avior,0630,9.0,130
40.0,Alkaid,0104,6.1,3.4
41.0,Menkalinan,081,2.39,2.77
42.0,Atria,0390,7,92
43.0,Alhena,0109,2.8,3.3
44.0,Peacock,0180,5.9,4.8
45.0,Alsephina[2],0080,2.4,2.9
46.0,Mirzam,0500,13.5,10
47.0,Polaris,0430,5.4,39
48.0,Alphard,0180,3.0,50
49.0,Mintaka,01200,24,16.5
50.0,Scheat,0196,2.1,95
51.0,Almaaz,0653,15,140
52.0,Rasalgethi,0360,2.8,280
53.0,Tau Ceti,011.9,0.783,0.893
54.0,Delta Pavonis,019.92,0.991,1.22
55.0,Ran,010.48,0.82,0.74
56.0,V382 Carinae,"08,900",20,485
57.0,Eta Carinae,"07,500",100,60–881
58.0,Delta Cephei,0887,4.5,44.5
59.0,Mu Cephei,"06,000",19.2,972
60.0,Titawin,044.25,1.27,1.48
61.0,Rho Cassiopeiae,"08,154",22,636-981
62.0,P Cygni,"05,545",30,76
64.0,VV Cephei,"04,900",18.2,"516 - 1,050"
65.0,61 Cygni,011.41,0.7,0.665
66.0,R Doradus,0178,0.7 - 1.0,298
67.0,Polaris Australis,0281,1.59,3.74
68.0,R Coronae Borealis,"04,566",0.85,85
69.0,54 Piscium,036.1,0.76,0.94
70.0,Mira,0300,1.2,370
71.0,RW Cephei,"014,000",13.9,"1,158"
72.0,Lacaille 8760,012.87,0.6,0.51
73.0,V838 Monocerotis,"019,896",?,380 - 750
74.0,HD 140283,0190,?,1.4
75.0,II Pegasi,0130,0.8,3.4
76.0,VY Canis Majoris,"03,900",17,"1,420"
77.0,Pistol Star,"025,000",100,320
78.0,S Doradus,"0169,000",24,380
79.0,UY Scuti,"05,100",7–10,755
80.0,Barnard's Star,05.98,0.14,0.20
81.0,Luhman 16,06.52,0.04,?
82.0,Proxima Centauri,04.25,0.12,0.15
83.0,KIC 8462852,"01,470",1.43,1.58
84.0,R136a1,"0163,000",290,32
85.0,Melnick 42,"0163,000",189,21.1
86.0,WR 102,"018,134",19,0.39
87.0,VFTS 352,"0164,000",57.48,14.47
88.0,YBP 1194,"02,772",1.01,0.99
89.0,Gliese 1214,047.5,0.16,0.21
90.0,NML Cygni,"05,251",50,"1,640 - 2,770"
91.0,VB 10,018.72,0.075,0.10
92.0,WOH G64,"0163,000",<20,"1,540 - 1,730"
93.0,TRAPPIST-1,039.6,0.089,0.12
94.0,2MASS J0523-1403,040.3,0.07,0.086
95.0,WISE 0855−0714,07.27,0.003,?
96.0,Icarus,"014,400,000,000",33,?
